Rows,TCL,TCA,A,TOR,PL
21,28525,83160,7,135963,30960
20,24026,79194,5,131306,33260
19,18896,79032,10,123170,30065
18,14058,68222,25,97356,25241
17,10701,68442,21,92693,23653
16,11309,53377,9,85864,23075
15,16463.63,40430.14,12,73578.06,19256.96
14,12265.7,34834.81,8.57,64672.93,18474.92
13,9676.91,23508.64,6.34,48426.14,12786.34
12,8835.48,16535.79,4.14,38858.54,10975.98
