Year,Quick,Current Turnover,Debt Turnover
2021,2.915,4.766,2.686
2020,3.296,5.465,2.381
2019,4.182,6.518,2.629
2018,4.851,6.925,2.703
2017,6.394,8.662,2.894
2016,4.719,7.593,2.313
2015,2.455,4.469,2.1
2014,2.839,5.273,1.886
2013,2.429,5.004,1.839
2012,1.871,4.398,1.507
